Participant Id,Session ID,Video ID,Name,Age,Gender,Valence level,Arousal level,Dominance level,Happy,Sad,Fear,Anger,Neutral,Disgust,Surprised,Familiarity Score
1,1,1,M_M,13,Female,8,0,0,High,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
1,1,2,M_M,13,Female,4,0,0,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,1,2,M_M,13,Female,4,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,
1,1,4,M_M,13,Female,9,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,1,5,M_M,13,Female,0,9,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,
1,1,6,M_M,13,Female,5,0,0,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,1,7,M_M,13,Female,0,0,0,VeryLow,Low,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,
2,1,1,F_N,14,Male,5,2,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,1,2,F_N,14,Male,4,1,2,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
2,1,3,F_N,14,Male,4,3,3,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
2,1,4,F_N,14,Male,7,3,7,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,Never watched
1,1,5,M_M,14,Male,5,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
2,1,6,F_N,14,Male,8,1,4,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,1,7,F_N,14,Male,4,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
3,1,1,A_R,14,Male,7,2,0,High,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
3,1,2,A_R,14,Male,3,5,0,VeryLow,Moderate,VeryLow,Low,VeryLow,VeryLow,VeryLow,Never watched
3,1,3,A_R,14,Male,9,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,Never watched
3,1,4,A_R,14,Male,10,0,9,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
3,1,5,A_R,14,Male,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,Never watched
3,1,6,A_R,14,Male,10,5,0,VeryHigh,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Never watched
3,1,7,A_R,14,Male,10,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
4,1,1,At_R,12,Male,7,2,0,Moderate,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,VeryLow,Never watched
4,1,2,At_R,12,Male,3,3,2,VeryLow,Moderate,VeryLow,VeryLow,Low,VeryLow,VeryLow,Never watched
4,1,3,At_R,12,Male,9,2,7,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,10
4,1,4,At_R,12,Male,9,0,8,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,10
4,1,5,At_R,12,Male,3,5,0,VeryLow,Moderate,Moderate,Low,Moderate,High,VeryLow,10
4,1,6,At_R,12,Male,6,2,7,High,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,10
4,1,7,At_R,12,Male,3,3,0,VeryLow,Low,High,VeryLow,VeryLow,VeryLow,VeryLow,10
5,1,1,S_N,13,Male,6,0,9,High,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,Never watched
5,1,2,S_N,13,Male,3,0,0,VeryLow,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
5,1,3,S_N,13,Male,4,0,0,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
5,1,4,S_N,13,Male,8,0,0,VeryHigh,VeryLow,Low,VeryLow,VeryLow,VeryLow,Moderate,4
5,1,5,S_N,13,Male,3,7,4,VeryLow,High,High,Moderate,VeryLow,High,Low,5
5,1,6,S_N,13,Male,6,0,0,High,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,6
5,1,7,S_N,13,Male,3,4,0,VeryLow,Low,High,Low,VeryLow,VeryLow,Low,
6,1,1,S_B,10,Male,9,0,9,VeryHigh,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
6,1,2,S_B,10,Male,3,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,Low,VeryLow,Low,Never watched
6,1,3,S_B,10,Male,4,0,7,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
6,1,4,S_B,10,Male,8,0,9,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,Never watched
6,1,5,S_B,10,Male,1,8,4,VeryLow,VeryHigh,VeryHigh,Moderate,VeryLow,VeryLow,VeryLow,Never watched
6,1,6,S_B,10,Male,1,9,0,VeryLow,Low,VeryLow,VeryHigh,VeryLow,Low,VeryLow,Never watched
6,1,7,S_B,10,Male,0,9,0,VeryLow,Low,High,VeryLow,VeryLow,Low,VeryLow,
7,1,1,A_A,14,Female,9,9,0,High,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
7,1,2,A_A,14,Female,1,3,0,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
7,1,3,A_A,14,Female,10,8,0,VeryLow,High,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,Never watched
7,1,4,A_A,14,Female,0,0,9,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
7,1,5,A_A,14,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,Never watched
7,1,6,A_A,14,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,Never watched
7,1,7,A_A,14,Female,0,5,0,VeryLow,High,VeryHigh,VeryLow,VeryLow,Low,Low,
8,1,1,B_R,12,Female,9,7,0,High,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
8,1,2,B_R,12,Female,3,1,0,High,Low,VeryLow,VeryLow,VeryLow,VeryLow,Low,
8,1,3,B_R,12,Female,9,9,9,VeryHigh,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,VeryLow,
8,1,4,B_R,12,Female,9,9,9,Moderate,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryHigh,
8,1,5,B_R,12,Female,0,9,9,VeryLow,Low,Low,VeryLow,VeryLow,VeryHigh,Low,
8,1,6,B_R,12,Female,0,9,0,VeryLow,Low,Low,VeryLow,VeryLow,VeryHigh,VeryLow,
8,1,7,B_R,12,Female,1,8,0,VeryLow,Low,VeryHigh,VeryLow,VeryLow,VeryLow,Low,
9,1,1,Ay_A,14,Female,5,2,9,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,
9,1,2,Ay_A,14,Female,6,5,3,High,Low,High,VeryLow,VeryLow,VeryLow,Low,
9,1,3,Ay_A,14,Female,4,5,7,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,
9,1,4,Ay_A,14,Female,6,6,5,Moderate,Low,VeryLow,Low,Low,Low,Moderate,
9,1,5,Ay_A,14,Female,0,1,0,VeryLow,VeryHigh,Low,Moderate,Low,VeryHigh,High,
9,1,6,Ay_A,14,Female,2,7,7,VeryLow,Low,VeryLow,Low,VeryLow,VeryLow,Low,
9,1,7,Ay_A,14,Female,3,5,6,VeryLow,Low,Low,Moderate,VeryLow,Low,Moderate,
10,1,1,S_D,8,Male,8,3,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
10,1,2,S_D,8,Male,5,4,2,Low,Low,Low,VeryLow,Low,VeryLow,Low,
10,1,3,S_D,8,Male,4,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,
10,1,4,S_D,8,Male,7,6,0,Moderate,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryHigh,
10,1,5,S_D,8,Male,0,9,0,VeryLow,VeryLow,Low,Low,VeryLow,VeryHigh,Low,
10,1,6,S_D,8,Male,3,5,0,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,VeryLow,VeryLow,
10,1,1,S_D,8,Male,9,7,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
11,1,1,Z_N,10,Male,9,9,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
11,1,2,Z_N,10,Male,6,4,0,Low,VeryHigh,VeryLow,VeryLow,VeryLow,Low,VeryLow,
11,1,3,Z_N,10,Male,4,4,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,
11,1,4,Z_N,10,Male,9,9,9,High,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,
11,1,5,Z_N,10,Male,1,3,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,
11,1,6,Z_N,10,Male,7,4,0,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,
11,1,6,Z_N,10,Male,8,6,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
12,1,1,Q_M,11,Male,5,8,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
12,1,2,Q_M,11,Male,6,9,5,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
12,1,3,Q_M,11,Male,4,7,6,Moderate,VeryLow,VeryLow,VeryLow,Low,VeryLow,Low,Never watched
12,1,4,Q_M,11,Male,5,7,6,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,
12,1,5,Q_M,11,Male,4,3,7,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,
12,1,6,Q_M,11,Male,3,2,1,VeryLow,High,VeryLow,Moderate,VeryLow,VeryLow,VeryLow,
12,1,7,Q_M,11,Male,0,1,3,VeryLow,VeryLow,High,VeryLow,VeryLow,VeryLow,VeryLow,
1,2,1,M_M,13,Female,6,0,0,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,2,2,M_M,13,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,
1,2,3,M_M,13,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,2,4,M_M,13,Female,5,0,0,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,2,5,M_M,13,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,High,VeryLow,
1,2,6,M_M,13,Female,0,0,0,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,2,7,M_M,13,Female,0,0,0,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,
2,2,1,F_N,14,Male,7,1,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,2,2,F_N,14,Male,7,1,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,2,3,F_N,14,Male,4,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,2,4,F_N,14,Male,8,2,5,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,
2,2,5,F_N,14,Male,4,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,Low,Never watched
2,2,5,F_N,14,Male,4,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,2,7,F_N,14,Male,4,0,0,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
3,2,1,A_R,14,Male,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,Never watched
3,2,2,A_R,14,Male,7,6,2,Moderate,VeryLow,VeryLow,Moderate,VeryLow,VeryLow,VeryLow,Never watched
3,2,3,A_R,14,Male,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,Never watched
3,2,4,A_R,14,Male,10,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
3,2,5,A_R,14,Male,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,Never watched
3,2,6,A_R,14,Male,0,0,0,VeryLow,High,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
3,2,7,A_R,14,Male,10,1,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
4,2,1,At_R,12,Male,5,3,5,Low,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,10
4,2,2,At_R,12,Male,5,3,6,Moderate,High,Low,VeryLow,Low,VeryLow,Low,10
4,2,3,At_R,12,Male,3,3,6,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
4,2,4,At_R,12,Male,8,4,8,VeryHigh,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,10
4,2,5,At_R,12,Male,2,7,0,VeryLow,Low,High,Low,VeryLow,High,VeryLow,10
4,2,6,At_R,12,Male,2,6,1,VeryLow,Low,High,Low,VeryLow,High,VeryLow,9
4,2,7,At_R,12,Male,2,8,0,VeryLow,Low,High,Low,VeryLow,Moderate,VeryLow,10
5,2,1,S_N,13,Male,8,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
5,2,2,S_N,13,Male,3,0,0,VeryLow,Low,Low,Low,VeryLow,VeryLow,VeryLow,2
5,2,3,S_N,13,Male,4,0,0,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,Never watched
5,2,4,S_N,13,Male,6,0,0,High,Low,Low,VeryLow,VeryLow,VeryLow,Low,Never watched
5,2,5,S_N,13,Male,2,2,0,VeryLow,Moderate,Moderate,Low,VeryLow,Moderate,Low,Never watched
5,2,6,S_N,13,Male,2,6,0,VeryLow,High,Moderate,VeryHigh,VeryLow,Low,Low,Never watched
5,2,7,S_N,13,Male,2,2,2,VeryLow,Moderate,High,Low,Low,VeryLow,Moderate,Never watched
6,2,1,S_B,10,Male,9,0,1,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
6,2,2,S_B,10,Male,8,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,7
6,2,4,S_B,10,Male,9,0,7,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
6,2,3,S_B,10,Male,4,4,4,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,
6,2,5,S_B,10,Male,0,9,0,VeryLow,Low,Low,Low,VeryLow,VeryHigh,VeryLow,
