Participant Id,Session ID,Video ID,Name,Age,Gender,Valence level,Arousal level,Dominance level,Happy,Sad,Fear,Anger,Neutral,Disgust,Surprised,Familiarity Score
6,2,6,S_B,10,Male,0,9,0,VeryLow,Low,Low,VeryLow,VeryLow,VeryHigh,VeryLow,
6,2,7,S_B,10,Male,0,9,0,VeryLow,Low,High,VeryLow,VeryLow,Low,VeryLow,
7,2,1,A_A,14,Female,10,9,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
7,2,2,A_A,14,Female,10,9,1,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
7,2,3,A_A,14,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,Never watched
7,2,4,A_A,14,Female,10,9,9,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
7,2,5,A_A,14,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,Never watched
7,2,6,A_A,14,Female,0,8,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,
7,2,7,A_A,14,Female,0,9,0,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
8,2,1,B_R,12,Female,4,4,0,VeryLow,Low,VeryLow,VeryLow,Moderate,VeryLow,VeryLow,
8,2,2,B_R,12,Female,4,4,8,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,VeryLow,
8,2,3,B_R,12,Female,4,4,9,Low,VeryLow,Low,VeryLow,Low,VeryLow,VeryHigh,
8,2,4,B_R,12,Female,0,9,0,VeryLow,Low,Low,VeryLow,VeryLow,VeryHigh,Low,
8,2,5,B_R,12,Female,0,9,9,VeryLow,Low,Low,VeryLow,VeryLow,VeryHigh,Low,
8,2,6,B_R,12,Female,0,9,0,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,Low,
8,2,7,B_R,12,Female,6,4,0,VeryLow,Low,High,VeryLow,VeryLow,Low,VeryLow,
9,2,1,Ay_A,14,Female,5,6,5,Low,Low,Low,VeryLow,Low,VeryLow,VeryLow,
9,2,2,Ay_A,14,Female,1,2,2,VeryLow,Moderate,Low,Moderate,Low,Low,Moderate,
9,2,3,Ay_A,14,Female,7,3,7,VeryLow,VeryLow,Low,VeryLow,Low,Low,Moderate,
9,2,4,Ay_A,14,Female,5,1,7,VeryLow,High,Low,VeryLow,Low,Moderate,VeryHigh,
9,2,5,Ay_A,14,Female,0,1,2,VeryLow,High,VeryLow,Low,VeryLow,Moderate,High,
9,2,6,Ay_A,14,Female,1,1,4,VeryLow,VeryHigh,VeryLow,Moderate,Low,VeryHigh,VeryHigh,
9,2,7,Ay_A,14,Female,1,1,1,VeryLow,VeryHigh,High,VeryHigh,High,Moderate,VeryHigh,
10,2,1,S_D,8,Male,9,7,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
10,2,2,S_D,8,Male,1,3,0,VeryLow,VeryHigh,VeryLow,Low,VeryLow,VeryLow,VeryLow,
10,2,3,S_D,8,Male,4,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,
10,2,4,S_D,8,Male,7,6,0,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryHigh,
10,2,5,S_D,8,Male,0,9,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,
10,2,6,S_D,8,Male,1,2,0,VeryLow,Low,Low,VeryHigh,VeryLow,VeryLow,VeryLow,
10,2,7,S_D,8,Male,9,8,0,VeryLow,Low,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,
11,2,1,Z_N,10,Male,8,7,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
11,2,2,Z_N,10,Male,8,8,0,High,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
11,2,3,Z_N,10,Male,6,4,0,Low,VeryLow,VeryLow,VeryHigh,Moderate,VeryLow,VeryLow,
11,2,4,Z_N,10,Male,9,9,8,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
11,2,5,Z_N,10,Male,4,4,0,VeryLow,VeryLow,High,VeryLow,VeryLow,VeryLow,VeryLow,
11,2,6,Z_N,10,Male,0,9,0,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
11,2,7,Z_N,10,Male,3,3,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,
12,2,1,Q_M,11,Male,4,4,4,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,Low,
12,2,2,Q_M,11,Male,4,5,4,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,
12,2,3,Q_M,11,Male,4,4,4,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
12,2,4,Q_M,11,Male,5,6,8,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,
12,2,5,Q_M,11,Male,4,4,4,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,
12,2,6,Q_M,11,Male,1,2,1,VeryLow,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
12,2,7,Q_M,11,Male,4,4,5,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,
1,3,1,M_M,13,Female,6,0,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,3,2,M_M,13,Female,0,0,0,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,VeryLow,
1,3,3,M_M,13,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,3,4,M_M,13,Female,0,0,0,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,3,5,M_M,13,Female,5,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,3,6,M_M,13,Female,0,0,0,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
1,3,7,M_M,13,Female,0,0,0,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,
2,3,1,F_N,14,Male,7,2,2,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,3,2,F_N,14,Male,4,0,0,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,3,3,F_N,14,Male,4,0,1,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,3,4,F_N,14,Male,6,2,4,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,Never watched
2,3,5,F_N,14,Male,7,2,4,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,3,6,F_N,14,Male,4,0,0,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
2,3,7,F_N,14,Male,4,0,0,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
3,3,1,A_R,14,Male,10,0,9,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
3,3,2,A_R,14,Male,0,0,0,VeryLow,Moderate,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,Never watched
3,3,3,A_R,14,Male,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,Never watched
3,3,4,A_R,14,Male,10,0,9,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
3,3,5,A_R,14,Male,8,0,0,Moderate,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,Never watched
3,3,6,A_R,14,Male,0,0,0,VeryLow,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,Never watched
3,3,7,A_R,14,Male,10,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
4,3,1,At_R,12,Male,9,0,6,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Low,10
4,3,2,At_R,12,Male,4,4,5,Low,Moderate,Moderate,Low,VeryLow,VeryLow,VeryLow,10
4,3,3,At_R,12,Male,4,4,3,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,10
4,3,4,At_R,12,Male,9,0,8,VeryHigh,VeryLow,Low,VeryLow,Moderate,VeryLow,Low,10
4,3,5,At_R,12,Male,7,2,6,Moderate,VeryLow,VeryLow,Low,VeryLow,VeryLow,Low,10
4,3,6,At_R,12,Male,4,4,3,VeryLow,Low,Low,Low,VeryLow,VeryLow,VeryLow,10
4,3,7,At_R,12,Male,8,1,7,VeryLow,Low,Moderate,VeryLow,VeryLow,Moderate,Low,10
5,3,1,S_N,13,Male,10,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,Never watched
5,3,2,S_N,13,Male,2,6,0,VeryLow,High,High,VeryHigh,Moderate,Low,Moderate,Never watched
5,3,3,S_N,13,Male,4,9,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
5,3,4,S_N,13,Male,4,0,0,High,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,Moderate,Never watched
5,3,5,S_N,13,Male,4,0,0,Moderate,VeryLow,VeryLow,Low,VeryLow,VeryLow,Moderate,Never watched
5,3,6,S_N,13,Male,2,7,2,VeryLow,Moderate,Low,VeryHigh,Low,VeryLow,Low,Never watched
5,3,7,S_N,13,Male,2,3,3,VeryLow,High,VeryHigh,Low,Low,VeryLow,Moderate,Never watched
6,3,1,S_B,10,Male,9,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
6,3,2,S_B,10,Male,0,7,0,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
6,3,3,S_B,10,Male,4,4,4,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,
6,3,4,S_B,10,Male,9,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,
6,3,5,S_B,10,Male,0,7,0,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryHigh,Low,
6,3,6,S_B,10,Male,9,9,0,VeryLow,Low,VeryLow,VeryHigh,VeryLow,Moderate,VeryLow,
6,3,7,S_B,10,Male,0,5,0,VeryLow,High,VeryHigh,VeryLow,VeryLow,Low,Low,
7,3,1,A_A,14,Female,10,9,9,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
7,3,2,A_A,14,Female,0,0,0,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
7,3,3,A_A,14,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,Never watched
7,3,4,A_A,14,Female,10,9,9,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
7,3,5,A_A,14,Female,0,0,0,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryHigh,VeryLow,Never watched
7,3,6,A_A,14,Female,0,0,0,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,Never watched
7,3,7,A_A,14,Female,0,0,0,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
8,3,1,B_R,12,Female,4,4,0,VeryLow,Low,VeryLow,VeryLow,Moderate,VeryLow,VeryLow,
8,3,2,B_R,12,Female,4,4,8,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,VeryLow,
8,3,3,B_R,12,Female,4,4,9,Low,VeryLow,Low,VeryLow,Low,VeryLow,VeryHigh,
8,3,4,B_R,12,Female,0,9,0,VeryLow,Low,Low,VeryLow,VeryLow,VeryHigh,Low,
8,3,5,B_R,12,Female,0,9,9,VeryLow,Low,Low,VeryLow,VeryLow,VeryHigh,Low,
8,3,6,B_R,12,Female,0,9,0,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,Low,
8,3,7,B_R,12,Female,6,4,0,VeryLow,Low,High,VeryLow,VeryLow,Low,VeryLow,
9,3,1,Ay_A,14,Female,1,7,7,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,High,
9,3,2,Ay_A,14,Female,1,2,0,VeryLow,High,VeryLow,Low,Moderate,VeryLow,High,
9,3,3,Ay_A,14,Female,5,4,4,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
9,3,4,Ay_A,14,Female,7,1,7,VeryLow,Low,Moderate,VeryLow,Low,VeryLow,VeryHigh,
9,3,5,Ay_A,14,Female,2,6,2,Low,VeryLow,VeryLow,Low,Low,Low,High,
9,3,6,Ay_A,14,Female,1,7,1,VeryLow,Moderate,VeryLow,Low,VeryLow,Low,VeryHigh,
9,3,7,Ay_A,14,Female,1,1,3,VeryLow,Low,Low,Low,High,High,VeryHigh,Never watched
10,3,1,S_D,8,Male,9,9,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
10,3,2,S_D,8,Male,0,9,0,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
10,3,3,S_D,8,Male,4,4,4,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,
10,3,4,S_D,8,Male,9,8,9,Moderate,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryHigh,
10,3,5,S_D,8,Male,1,7,0,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,VeryHigh,VeryLow,
10,3,6,S_D,8,Male,0,9,0,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,
10,3,7,S_D,8,Male,0,9,9,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,
11,3,1,Z_N,10,Male,9,9,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
11,3,2,Z_N,10,Male,2,4,0,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
11,3,3,Z_N,10,Male,4,0,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,
11,3,4,Z_N,10,Male,9,9,9,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryHigh,
11,3,5,Z_N,10,Male,0,9,0,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryHigh,VeryLow,
11,3,6,Z_N,10,Male,0,9,0,VeryLow,Low,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,
11,3,7,Z_N,10,Male,0,9,0,VeryLow,VeryLow,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,
12,3,1,Q_M,11,Male,10,0,0,VeryHigh,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Moderate,Never watched
12,3,2,Q_M,11,Male,2,6,0,VeryLow,High,High,VeryHigh,Moderate,Low,Moderate,Never watched
12,3,3,Q_M,11,Male,4,9,0,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,VeryLow,Never watched
12,3,4,Q_M,11,Male,4,0,0,High,VeryLow,VeryLow,VeryLow,Moderate,VeryLow,Moderate,Never watched
12,3,5,Q_M,11,Male,4,0,0,Moderate,VeryLow,VeryLow,Low,VeryLow,VeryLow,Moderate,Never watched
12,3,6,Q_M,11,Male,2,7,2,VeryLow,Moderate,Low,VeryHigh,Low,VeryLow,Low,Never watched
12,3,7,Q_M,11,Male,2,3,3,VeryLow,High,VeryHigh,Low,Low,VeryLow,Moderate,Never watched